Player Input,NPC Response
"hows your day been, I want to understand better.",It’s been good. What about you?
Could you explain The Vigilants?,"Hunt darkness, even when it hides in light"
Forge,"Creator of weapons, or destroyer of peace?"
"Brynn, Give me more details.","I’ve met Maven Black-Briar. She’s more dangerous than any dragon. If you get on her bad side, there’s no escaping her grasp."
Can you tell me about gray cowl?,"Do you wear the mask, or become it?"
More info?,"And yet, here I am"
Explain.,"Master of the dead, or coward of life?"
Dragonborn,"Fate of Tamriel, or legend forgotten?"
Details?,Molag Bal does not forgive trespassers.
"do you like the slaughterfish, What exactly does that mean?",Slaughterfish are dangerous aquatic predators. They are best avoided.
I'd like to learn about Skyrim's Nords?,"Prideful defenders, or stubborn isolationists?"
I need to know about What do I do with the bloodstone?,Give it to the priestess before the first light touches it
Clarify.,Because my brain works the same way
Details?,Spellbreaker may serve you well.
"Dragon Aspect, What exactly does that mean?","Shout of self, or mask of power?"
its been real,Indeed it has. Until next time.
Clarify.,God of machines or prisoner of logic?
Where can I find the flame lilies,"In the valley scorched by the dragon’s breath, they bloom once per moon"
I need to know about Quagmire?,"Realm of change, or mind unmoored?"
"murkmire, I’ve heard, but I want to know more.",None who enter murkmire return unchanged.
"numidium, Tell me more about this.",Would you dare speak the name of numidium aloud?
"Boethiah, I want to understand better.","God of plots, or patron of tests?"
"caravan, I’ve heard, but I want to know more.","Khajiit bring goods from far away, if you trust them."
Clarify.,somewhere between where you were and where you’re going
The Heart of Lorkhan,"Gift to mortals, or tool of gods?"
what is an atronach,"A magical construct, bound to the elements."
Can you tell me about why does this matter?,everything matters until it doesn’t
Details?,Soul Cairn... it echoes through history.
falkreath,Could you survive the trials of falkreath?
I'd like to learn about neravarine?,Not even time forgets the horrors of neravarine.
"Explain what the Dragonborn means, Give me more details.","A person born with the soul of a dragon, capable of wielding the Voice"
Can you tell me about share some wisdom?,Fortune favors the prepared.
Details?,Tiber Septim was written in fire and shadow.
I'd like to learn about Sigrun?,"To find Markarth, follow the river west, climb the stone steps and you’ll find the city"
"Whats the cause, Can you explain?",The cause is to help you. What do you need?
tree,"Rooted in strength, or too slow to flee?"
I was wondering about Baldur?,"The road to Riften is to the southeast, through the woods and over the marshes"
Do you know anything about Where can I find the moonstone?,"Deep in the caverns of Hollowshade, behind a sealed gate only magic can open"
"where is dawnstar, I want to understand better.","A northern city, troubled by dark dreams."
sovngarde,Sovngarde... it echoes through history.
The Ratway,"Path of thieves, or tunnel to survival?"
"What is the Ritual Stone?, Can you explain?",A powerful standing stone that allows you to raise the dead to fight for you.
"dwemer, I want to understand better.","Vanished minds, or echoes still calculating?"
tamriel,Would you dare speak the name of tamriel aloud?
"Where do I buy spells, How does that work?",Visit the court wizard.
I was wondering about legend?,Stories live longer than men.
Explain.,Find the hidden switch behind the waterfall. It will open the entrance.
I need to know about bosmer?,Bosmer does not forgive trespassers.
Can you tell me about leyawiin?,Would you dare speak the name of leyawiin aloud?
Explain.,Honningbrew and Black-Briar fight for that title.
who are the daedra,"The Daedra are powerful beings from Oblivion, neither good nor evil."
"dwemer, What exactly does that mean?",Dwemer does not forgive trespassers.
Nocturnal,Secrets are safer in silence
"J’zargo, Give me more details.",Test my scrolls and bring me the results
"How do I rescue the prince?, Why is that important?",The prince is held in the castle to the west. Break in under cover of night.
I'd like to learn about You ever just feel hungry but don’t know what to eat?,That’s the daily struggle of life
Clarify.,"Night fights are all about stealth. Use the darkness to your advantage, and try to stay hidden until you’ve found your target."
Tell me.,Prove your strength to Hrothmund and lead with honor
Do you know anything about Hilda?,"The road to High Hrothgar lies north, and you’ll need to ascend the steep steps to reach the summit"
bosmer,Bosmer was written in fire and shadow.
Explain.,"Good day to you, traveler. How can I help?"
"ever faked it, How does that work?",Every woman has. You just wouldn’t know.
Glow Dust,"Light of death, or shimmer of truth?"
"Sovngarde, Why is that important?","Hall of heroes, or illusion of reward?"
Explain.,nowhere
"mace, Why is that important?","Does it break bones, or break will?"
Where can I find the enchanted sword?,It’s held by the spirit of the ancient warrior in the temple.
"what is necromancy, I want to understand better.",The dark art of raising the dead.
I was wondering about blackreach?,Blackreach holds truths best left buried.
sigil stone,They say sigil stone whispers to the brave and the mad.
"Kordar, I’ve heard, but I want to know more.","Master the art of patience, and the world will bow to you"
fuck me now,You’re impatient.
"black marsh, What exactly does that mean?","Does it trap intruders, or protect its own?"
"solitude, How does that work?","Crown of civility, or puppet of empire?"
stormcloak,Stormcloak does not forgive trespassers.
Do you know anything about miraak?,Miraak does not forgive trespassers.
"Akaviri, Tell me more about this.","Serpents of the east, or warriors of the dawn?"
Bjorn,"The path to Windhelm lies north, past the snow-covered peaks of the mountains"
legacy,What will be remembered of you?
"Lost, I’ve heard, but I want to know more.",Happens to the best of us
Where can I find the sacred crystal?,It’s in the temple of light. Look for it beneath the glowing altar.
vengeance,Justice or self-destruction?
vaermina,Vaermina holds truths best left buried.
Can you tell me about How do I defeat the storm giant??,"Use wind magic to knock it off balance, then strike when it’s vulnerable."
"psijic order, I want to understand better.",Psijic Order... it echoes through history.
Can you tell me about curse?,"Accident, punishment, or design?"
"wisp mother, How does that work?",What did it cost to silence wisp mother?
Can you tell me about i need help?,Of course! What do you need?
What’s the dirtiest joke you’ve heard?,What’s the difference between a Bosmer and a guar? About three drinks.
"Delphine, I’ve heard, but I want to know more.","Seeker of justice, or wielder of hatred?"
mephala,Would you dare speak the name of mephala aloud?
Lothar,You must find balance between power and restraint
"who are the divines, What exactly does that mean?",The Nine Divines are the Aedra worshipped across Tamriel.
"pin me down and take me, What exactly does that mean?",I like how you think.
I was wondering about Good to see you?,"Good to see you as well, traveler. How can I help?"
"twilight sepulcher, Can you explain?",Twilight Sepulcher holds truths best left buried.
Ever traveled far from here,A few times. Everywhere’s got its problems though
"truth, I’ve heard, but I want to know more.","Do you chase it, or flee it?"
tamriel,The continent we call home.
Tell me.,"The pits, the roads, or the taverns."
whats the longest youve gone,Long enough to leave a mark.
