Player Input,NPC Response
Ever had a close call with getting caught?,More than once. The key is knowing when to run.
Stormcloak,"Voice of freedom, or shout of pride?"
Sovngarde,"Reward for valor, or end of the path?"
Centurion,"Machine of war, or symbol of the past?"
who is hircine,"The Huntsman, lord of werewolves."
do you like the altmer,The Altmer are a proud and ancient race. They are the masters of magic.
Stormcloaks,Freedom comes at the edge of a sword
Museum of the Dwemer,"Vault of brilliance, or cage of ego?"
who am i,You should already know.
House Dres,"Lords of slaves, or keepers of legacy?"
Ever bedded an orc?,Once. Took me a week to recover.
dunmer,Ash-blooded outcasts or proud children of fire?
Nightmares,"Echoes of fear, or warnings ignored?"
can you fight,If I have to.
share some wisdom,Fortune favors the prepared.
Where can I find the weeping statue,"In the garden behind the broken mansion, always wet with dew"
guar,None who enter guar return unchanged.
rimmen,Would you dare speak the name of rimmen aloud?
Mercenary,"Loyal to gold, or loyal to cause?"
I don’t trust you,"Good, I wouldn’t trust me either"
fool,"Bold, brave, or both?"
hope,Light or illusion?
Who are the Remnants?,"The Remnants are the last survivors of the lost kingdom of Yokuda, seeking to reclaim their heritage."
What is the Lunar Forge?,A forge hidden in Skyrim that grants weapons strange powers under the moonlight.
Hrothmund's Barrow,"Rest of legend, or challenge eternal?"
lightning,"Fast, deadly, and leaves little behind."
J’zargo,"Ambition in fur, or spark of glory?"
whats the weirdest thing youve overheard,a thalmor complaining that the jarl was too soft in private matters
sotha sil,Would you dare speak the name of sotha sil aloud?
Mankar Camoran,"Visionary of Dagon, or lunatic of lies?"
Why do guards know my crimes,They got that sixth sense for troublemakers
snow elves,How many lives has snow elves claimed in silence?
Saadia,"Fugitive of truth, or traitor in silk?"
why do i feel lost,because you are
bosmer,Bosmer does not forgive trespassers.
Torolf,"That Galmar, he’s a true warrior at heart. You wouldn’t want to meet him in battle. But he’s a friend to those who earn it."
Orc Strongholds,"Earn their trust with deeds, not words"
Eorlund,"Forge your weapon with purpose, not just with fire"
Hi,Hello there! What brings you here?
telvanni,Would you dare speak the name of telvanni aloud?
whats the worst mistake you’ve made while flirting,Calling them the wrong name twice.
Breton,"Magic-wielders, or traitors to their blood?"
leyawiin,Who writes the fate of leyawiin?
Apocrypha,Every page leads deeper into madness
echo,Some voices never truly fade.
hourglass,Time is an enemy you cannot slay.
bosmer,What did it cost to silence bosmer?
inn,"Shelter and warmth, for a price."
bye,"Take care, and may the gods watch over you."
snow elves,Snow Elves was written in fire and shadow.
rimmen,Rimmen does not forgive trespassers.
Proventus Avenicci,Consult the court mage if it’s magic you seek
Gor,"If you wish to find Morthal, head southwest, through the mist-covered swamps"
What is the significance of the Dragonborn?,They alone can absorb a dragon's soul and wield the Thu'um with divine strength.
who is the most dangerous outlaw,"Some say the Butcher, others name a Black-Briar."
nice to see you,"Likewise, traveler. How can I assist?"
leyawiin,Would you dare speak the name of leyawiin aloud?
Orcs,"Clan of strength, or outcast kin?"
How do I gather the ingredients?,Look in the forest at dawn. The rare mushrooms only grow in the early morning.
ever been so good someone passed out,Once. Thought I killed them.
ever been caught in the act,Yeah. Just made it more exciting.
Tired,"Yeah, me too"
oracle,Some see the future. Others wish they did not.
whats the best way to make someone cum,"Right touch, right timing, and a little bit of patience."
Skaal,"Faithful of All-Maker, or relics of balance?"
chimer,Not even time forgets the horrors of chimer.
How do I defeat the fire drake?,"Use water magic to douse its flames, then attack while it’s stunned."
where are you from,"I am from the land of Skyrim, where adventure awaits. What brings you here?"
What is the Wrathstone?,The Wrathstone is a relic said to hold secrets of the ancient Dwemer.
Aela,"If you seek the ancient ruins, follow the path through the snow-covered hills to the north"
skyrim,Would you dare speak the name of skyrim aloud?
The Staff of Magnus,"Tool of godhood, or burden of balance?"
who teaches alchemy,"Arcadia in Whiterun, or the College of Winterhold."
reedwood,"A strong wood, though not often seen."
vaermina,Vaermina was written in fire and shadow.
You annoying,And you’re still here
Sermon,"Words of guidance, or echo of control?"
What’s the best way to spice things up?,"Surprises. Some fun, some risky, some… you won’t forget."
Farengar Secret-Fire,"Seeker of flame, or hoarder of riddles?"
What do I do with the cursed gem?,Take it to the temple of purification. They can remove the curse.
I swear you dumb,"And yet, I’m still outsmarting you"
boethiah,Boethiah was written in fire and shadow.
apocrypha,What did it cost to silence apocrypha?
who is the jarl of falkreath,"Jarl Siddgeir, a man with many debts."
voice of the sky,Voice of the Sky does not forgive trespassers.
do you like the companions,"The Companions are honorable warriors, though their secrets run deep."
Torvald,"Learn from every loss, for it is your next victory’s foundation"
Gorm,"The mines of Kolskeggr can be found west of here, down the mountain path"
what,"Clarify, traveler. The world is vast."
What’s the wildest thing you’ve done?,"Let’s just say it involved a Bosmer, a bottle of flin, and a very confused guar."
Wulf,"Mysterious stranger, or whisper of destiny?"
Viggo,"To find Markarth, follow the river to the west, and ascend the stone pathways up to the city"
stop,You first.
who,That depends. Who are you looking for?
Khajiit Caravans,"Trade well, and they’ll speak your name fondly"
who are the daedra,"The Daedra are powerful, otherworldly beings who influence the world in mysterious ways"
jyggalag,Order incarnate or silence before the storm?
Do elves really last longer?,"Only one way to find out, isn’t there?"
windhelm,Home of pride or birthplace of civil war?
leyawiin,"Some worship leyawiin, others curse its name."
Elder Haming,"The time for change has come, one way or another"
Whiterun,"Heart of Skyrim, or pawn of both sides?"
Where can I find the lost city?,It’s hidden beyond the desert. Follow the ruins of old temples to find your way.
stormcloak,"Patriot, or pawn of a louder voice?"
Black Books,"Paths to knowledge, or portals to peril?"
whisper,"Sometimes, the quietest words are the most dangerous."
The Infinite Step,"Path without end, or journey to self?"
Thonar Silver-Blood,"Markarth belongs to my family, and always will"
stormcloak,Stormcloak... it echoes through history.
How do I deal with a ranged attacker?,"Close the gap quickly, and use cover to block their shots."
The Daedra,"Princes of power, or lords of chaos?"
coldharbour,Would you dare speak the name of coldharbour aloud?
eternal,Nothing truly lasts forever.
Where can I find the lost artifact?,It’s hidden in the abandoned ruins to the north. Beware of the monsters guarding it.
blades,Blades was written in fire and shadow.
Tarlok,"To find Winterhold, head northeast, cross the frozen river, and ascend the icy cliffs to the city"
markarth,Not even time forgets the horrors of markarth.
bosmer,Bosmer was written in fire and shadow.
whats the weirdest thing someone asked for in bed,"Let’s just say, some people are really into feet."
whats the worst sex you ever had,The kind where they thought they were good.
Erikur,"Wealth in words, or soul in debt?"
Step back,Why don’t you step forward and make me
What should I do with the sleeping stone,Leave it in the moonlit basin and return the next dawn
Where can I mine ore,"Try the mountains, lots of veins there."
Who are the Tongues?,"The Tongues were Nordic warriors who mastered the Thu’um, using it to defeat their enemies."
Sven,"If you seek solitude, travel westward and follow the mountains until you find the small sanctuary near the river"
Death Hounds,"Pets of vampires, or beasts of torment?"
do you like the skeevers,Skeevers are weak but can carry disease. They are best avoided.
its been real,Indeed it has. Until next time.
who is auriel,"The Elven god of time, also known as Akatosh."
Coin,Got some to spare?
What should I do with the cursed staff?,Take it to the high mage. He will know how to purify its dark magic.
Mythic Dawn,"Cult of madness, or spark of truth?"
do you like the zombies,Zombies are slow but tough. Use fire or silver weapons to defeat them.
The Rift's Shadows,"Cover for thieves, or cloak for murder?"
How do I defeat the fire drake?,"Use water magic to douse its flames, then strike at its heart when it’s exposed."
Aela,"For the College of Winterhold, head northeast, cross the icy lake and follow the path upwards"
Ralof,Stick with me and we’ll make it to Riverwood
I swear time moves faster when I’m late,That’s just the universe making sure you suffer for your choices
keep going,"Oh, I plan to."
altmer,Altmer... it echoes through history.
elderscrolls,Elderscrolls was written in fire and shadow.
How do I fight against a foe who uses fire?,"Fire is destructive, but it can be blocked with a shield or avoided by staying out of range. Resist fire potions can also give you an edge."
Nahkriin,I guard the portal to your destiny
